"Distance","Time","Status","OriginInd","DestinationInd"
16067,807,"OK",2,47
39426,2178,"OK",2,48
29369,1386,"OK",2,49
36651,1704,"OK",2,50
8336,772,"OK",2,51
30245,1562,"OK",2,52
30461,1598,"OK",2,53
8932,666,"OK",2,54
6137,752,"OK",2,55
5610,861,"OK",2,56
25570,1367,"OK",2,57
10761,697,"OK",2,58
34546,1556,"OK",2,59
7097,708,"OK",2,60
33475,1584,"OK",2,61
28117,1507,"OK",2,62
35287,1780,"OK",2,63
16365,1056,"OK",2,64
17290,1239,"OK",2,65
33753,1465,"OK",2,66
20786,1259,"OK",2,67
27351,1536,"OK",2,68
35997,1680,"OK",2,69
16421,982,"OK",2,70
30147,1519,"OK",2,71
6131,936,"OK",2,72
40430,2111,"OK",2,73
31752,1577,"OK",2,74
1945,210,"OK",2,75
16573,1003,"OK",2,76
6072,811,"OK",2,77
21702,1387,"OK",2,78
10117,640,"OK",2,79
39479,1810,"OK",2,80
36668,1710,"OK",2,81
45486,1982,"OK",2,82
26377,1563,"OK",2,83
98998,3967,"OK",2,84
28576,1300,"OK",2,85
28531,1679,"OK",2,86
53491,2299,"OK",2,87
54926,2190,"OK",2,88
39295,1793,"OK",2,89
113239,4896,"OK",2,90
4227,643,"OK",2,91
13098,787,"OK",2,92
4344,551,"OK",2,93
16005,940,"OK",2,94
34168,1768,"OK",2,95
7765,1060,"OK",2,96
24374,1170,"OK",2,97
32907,1429,"OK",2,98
20973,1239,"OK",2,99
32353,1661,"OK",2,100
42160,1855,"OK",2,101
24316,1154,"OK",2,102
98957,3941,"OK",2,103
32880,1612,"OK",2,104
2650,416,"OK",2,105
2645,414,"OK",2,106
21130,1271,"OK",2,107
23573,1249,"OK",2,108
30712,1383,"OK",2,109
33317,2009,"OK",2,110
38707,1743,"OK",2,111
18110,1186,"OK",2,112
36638,1924,"OK",2,113
3874,593,"OK",2,114
44849,2073,"OK",2,115
20258,1230,"OK",2,116
12617,908,"OK",2,117
32769,1811,"OK",2,0
38492,1759,"OK",3,1
45038,1882,"OK",3,2
0,0,"OK",3,3
71014,3373,"OK",3,4
42228,1904,"OK",3,5
61716,3161,"OK",3,6
6837,735,"OK",3,7
26460,1250,"OK",3,8
47089,2188,"OK",3,9
48660,2316,"OK",3,10
64729,2723,"OK",3,11
50047,2252,"OK",3,12
33570,1786,"OK",3,13
72861,3201,"OK",3,14
63895,2764,"OK",3,15
56427,2349,"OK",3,16
51242,2244,"OK",3,17
33570,1786,"OK",3,18
67200,2958,"OK",3,19
63039,2778,"OK",3,20
63799,2740,"OK",3,21
18752,1015,"OK",3,22
49539,2207,"OK",3,23
75765,3178,"OK",3,24
70631,2833,"OK",3,25
63437,2823,"OK",3,26
57718,2475,"OK",3,27
72701,2990,"OK",3,28
41542,1786,"OK",3,29
38515,1898,"OK",3,30
114510,6001,"OK",3,31
45729,1848,"OK",3,32
86608,3630,"OK",3,33
61609,2623,"OK",3,34
60343,2621,"OK",3,35
23745,993,"OK",3,36
39735,1876,"OK",3,37
39471,1725,"OK",3,38
31050,1408,"OK",3,39
31275,1563,"OK",3,40
63997,2623,"OK",3,41
49116,2148,"OK",3,42
78046,3363,"OK",3,43
39612,1745,"OK",3,44
46876,2223,"OK",3,45
40773,2000,"OK",3,46
30844,1347,"OK",3,47
73851,3455,"OK",3,48
19309,1029,"OK",3,49
9606,909,"OK",3,50
48084,2344,"OK",3,51
61105,2565,"OK",3,52
42254,1861,"OK",3,53
38766,1687,"OK",3,54
48414,2384,"OK",3,55
46089,2362,"OK",3,56
51512,2269,"OK",3,57
36263,1537,"OK",3,58
13320,775,"OK",3,59
40058,1886,"OK",3,60
49187,2142,"OK",3,61
64577,2909,"OK",3,62
66146,2783,"OK",3,63
34209,1681,"OK",3,64
58204,2802,"OK",3,65
14501,1135,"OK",3,66
28673,1686,"OK",3,67
68265,3099,"OK",3,68
70422,2956,"OK",3,69
57335,2545,"OK",3,70
60999,2524,"OK",3,71
48999,2383,"OK",3,72
71290,3114,"OK",3,73
62612,2580,"OK",3,74
46808,1944,"OK",3,75
34165,1638,"OK",3,76
38911,1770,"OK",3,77
62617,2950,"OK",3,78
42151,1788,"OK",3,79
64729,2723,"OK",3,80
9560,909,"OK",3,81
1541,237,"OK",3,82
72400,3180,"OK",3,83
101177,4968,"OK",3,84
21586,1088,"OK",3,85
41054,1957,"OK",3,86
15876,999,"OK",3,87
21931,1041,"OK",3,88
59872,2598,"OK",3,89
113971,5919,"OK",3,90
46676,2224,"OK",3,91
38571,1638,"OK",3,92
40975,1709,"OK",3,93
41901,1846,"OK",3,94
64300,2799,"OK",3,95
49555,2711,"OK",3,96
22703,1106,"OK",3,97
63039,2460,"OK",3,98
28615,1463,"OK",3,99
14399,854,"OK",3,100
26262,1272,"OK",3,101
22644,1089,"OK",3,102
101136,4941,"OK",3,103
17253,1047,"OK",3,104
45875,2115,"OK",3,105
45870,2114,"OK",3,106
28553,1638,"OK",3,107
53177,2488,"OK",3,108
22118,1053,"OK",3,109
41761,2263,"OK",3,110
60123,2591,"OK",3,111
59024,2749,"OK",3,112
33570,1786,"OK",3,113
46522,2219,"OK",3,114
6200,579,"OK",3,115
61173,2792,"OK",3,116
52414,2603,"OK",3,117
63621,2816,"OK",3,0
53944,2892,"OK",4,1
37722,2244,"OK",4,2
72711,3310,"OK",4,3
0,0,"OK",4,4
45345,2670,"OK",4,5
35647,2465,"OK",4,6
65546,3194,"OK",4,7
53289,2633,"OK",4,8
32491,2049,"OK",4,9
41160,2658,"OK",4,10
22095,1392,"OK",4,11
33521,2263,"OK",4,12
47132,2632,"OK",4,13
19302,1583,"OK",4,14
46848,2585,"OK",4,15
63532,3053,"OK",4,16
37421,2017,"OK",4,17
47132,2632,"OK",4,18
30271,1868,"OK",4,19
50135,2610,"OK",4,20
46752,2561,"OK",4,21
78066,3508,"OK",4,22
26678,1594,"OK",4,23
24407,1499,"OK",4,24
53606,2683,"OK",4,25
26157,1645,"OK",4,26
29850,1769,"OK",4,27
29055,1826,"OK",4,28
36030,2207,"OK",4,29
45712,2800,"OK",4,30
135170,6162,"OK",4,31
55351,2833,"OK",4,32
77787,3796,"OK",4,33
27241,1605,"OK",4,34
10276,1265,"OK",4,35
58871,2677,"OK",4,36
32744,1772,"OK",4,37
39787,2063,"OK",4,38
47659,2739,"OK",4,39
48654,2530,"OK",4,40
56356,2862,"OK",4,41
36609,1864,"OK",4,42
61021,3213,"OK",4,43
38980,2077,"OK",4,44
30661,2268,"OK",4,45
31570,1932,"OK",4,46
47120,2325,"OK",4,47
4498,581,"OK",4,48
61277,3339,"OK",4,49
63183,3058,"OK",4,50
29994,1819,"OK",4,51
45985,2537,"OK",4,52
36958,2101,"OK",4,53
47332,2402,"OK",4,54
35061,2404,"OK",4,55
40912,2644,"OK",4,56
26760,1676,"OK",4,57
47837,2714,"OK",4,58
65877,3140,"OK",4,59
38480,2491,"OK",4,60
24883,1523,"OK",4,61
16156,1330,"OK",4,62
49122,2633,"OK",4,63
47142,2543,"OK",4,64
34536,2186,"OK",4,65
60285,2820,"OK",4,66
51840,2776,"OK",4,67
31336,2009,"OK",4,68
10171,1172,"OK",4,69
31489,1892,"OK",4,70
52878,3000,"OK",4,71
41713,2707,"OK",4,72
54243,2935,"OK",4,73
42866,2432,"OK",4,74
36184,2136,"OK",4,75
43660,2438,"OK",4,76
47477,2484,"OK",4,77
21368,1393,"OK",4,78
43004,2274,"OK",4,79
22095,1392,"OK",4,80
63200,3064,"OK",4,81
72850,3355,"OK",4,82
30394,2021,"OK",4,83
120391,5151,"OK",4,84
55108,2654,"OK",4,85
30276,1849,"OK",4,86
80023,3654,"OK",4,87
80762,3433,"OK",4,88
21467,1452,"OK",4,89
134631,6080,"OK",4,90
38640,2556,"OK",4,91
41380,2138,"OK",4,92
38836,2435,"OK",4,93
39492,2181,"OK",4,94
50132,2612,"OK",4,95
37261,2500,"OK",4,96
61451,3187,"OK",4,97
57738,2786,"OK",4,98
58050,3256,"OK",4,99
67376,3166,"OK",4,100
64973,3070,"OK",4,101
61392,3170,"OK",4,102
120350,5125,"OK",4,103
58789,2941,"OK",4,104
36832,2385,"OK",4,105
36827,2383,"OK",4,106
52184,2789,"OK",4,107
23022,1471,"OK",4,108
57244,2737,"OK",4,109
42272,2519,"OK",4,110
21323,1325,"OK",4,111
34167,2123,"OK",4,112
47132,2632,"OK",4,113
34729,2422,"OK",4,114
71381,3428,"OK",4,115
24625,1697,"OK",4,116
44403,2764,"OK",4,117
50366,2748,"OK",4,0
14017,904,"OK",5,1
8687,768,"OK",5,2
42497,1966,"OK",5,3
44822,2716,"OK",5,4
0,0,"OK",5,5
16060,2122,"OK",5,6
42992,2147,"OK",5,7
31946,1756,"OK",5,8
16854,1340,"OK",5,9
5643,824,"OK",5,10
47711,2425,"OK",5,11
13689,1146,"OK",5,12
43007,2432,"OK",5,13
50466,2584,"OK",5,14
28157,1573,"OK",5,15
20676,1151,"OK",5,16
18551,1301,"OK",5,17
43007,2432,"OK",5,18
34518,2011,"OK",5,19
26741,1620,"OK",5,20
28062,1549,"OK",5,21
56619,2615,"OK",5,22
41703,2177,"OK",5,23
39480,2151,"OK",5,24
34893,1642,"OK",5,25
49293,2539,"OK",5,26
52414,2724,"OK",5,27
36963,1800,"OK",5,28
12879,1040,"OK",5,29
47779,2510,"OK",5,30
108159,4810,"OK",5,31
9992,658,"OK",5,32
50776,2445,"OK",5,33
52857,2638,"OK",5,34
32231,1834,"OK",5,35
37425,1784,"OK",5,36
34431,2125,"OK",5,37
18556,1295,"OK",5,38
15582,1004,"OK",5,39
30045,1730,"OK",5,40
28246,1425,"OK",5,41
43812,2398,"OK",5,42
42309,2172,"OK",5,43
18059,1183,"OK",5,44
19712,1646,"OK",5,45
31557,2035,"OK",5,46
21152,1268,"OK",5,47
47658,2794,"OK",5,48
26519,1415,"OK",5,49
40914,2054,"OK",5,50
16568,1388,"OK",5,51
25368,1375,"OK",5,52
36894,2120,"OK",5,53
12585,1052,"OK",5,54
8355,1139,"OK",5,55
5938,820,"OK",5,56
32003,1889,"OK",5,57
5129,751,"OK",5,58
31696,1585,"OK",5,59
12913,1127,"OK",5,60
39908,2105,"OK",5,61
36350,2123,"OK",5,62
30409,1592,"OK",5,63
21451,1517,"OK",5,64
25522,1855,"OK",5,65
38838,1926,"OK",5,66
24866,1651,"OK",5,67
35583,2152,"OK",5,68
44229,2295,"OK",5,69
24653,1598,"OK",5,70
25261,1333,"OK",5,71
5983,892,"OK",5,72
35553,1923,"OK",5,73
26874,1390,"OK",5,74
10450,838,"OK",5,75
21658,1463,"OK",5,76
12856,1144,"OK",5,77
29934,2003,"OK",5,78
13770,1027,"OK",5,79
47711,2425,"OK",5,80
40868,2054,"OK",5,81
42637,2012,"OK",5,82
36663,1990,"OK",5,83
93380,3800,"OK",5,84
33661,1760,"OK",5,85
34963,2201,"OK",5,86
55104,2524,"OK",5,87
61159,2566,"OK",5,88
45728,2315,"OK",5,89
107620,4728,"OK",5,90
7556,1017,"OK",5,91
19467,1294,"OK",5,92
7559,994,"OK",5,93
22438,1462,"OK",5,94
28549,1601,"OK",5,95
10281,1407,"OK",5,96
21524,1200,"OK",5,97
27288,1262,"OK",5,98
18123,1269,"OK",5,99
29503,1690,"OK",5,100
48529,2362,"OK",5,101
21466,1183,"OK",5,102
93338,3774,"OK",5,103
39743,2006,"OK",5,104
9473,975,"OK",5,105
9468,973,"OK",5,106
24800,1616,"OK",5,107
31805,1865,"OK",5,108
35797,1844,"OK",5,109
39750,2531,"OK",5,110
45979,2308,"OK",5,111
26342,1802,"OK",5,112
43007,2432,"OK",5,113
10120,1078,"OK",5,114
46563,2186,"OK",5,115
28490,1845,"OK",5,116
8632,1163,"OK",5,117
27323,1659,"OK",5,0
30767,2397,"OK",6,1
13329,1926,"OK",6,2
59550,3452,"OK",6,3
33910,2427,"OK",6,4
16066,2176,"OK",6,5
0,0,"OK",6,6
49002,3231,"OK",6,7
37831,2331,"OK",6,8
16291,1566,"OK",6,9
10962,1566,"OK",6,10
48188,2583,"OK",6,11
12184,1965,"OK",6,12
48893,3007,"OK",6,13
50960,2762,"OK",6,14
25436,1984,"OK",6,15
25806,2043,"OK",6,16
12015,1199,"OK",6,17
48893,3007,"OK",6,18
14128,1365,"OK",6,19
28723,2009,"OK",6,20
25340,1959,"OK",6,21
61522,3546,"OK",6,22
51088,2737,"OK",6,23
19090,1505,"OK",6,24
32194,2081,"OK",6,25
52250,2836,"OK",6,26
55943,2961,"OK",6,27
8879,1202,"OK",6,28
14635,1816,"OK",6,29
53665,3085,"OK",6,30
113758,5560,"OK",6,31
14460,1820,"OK",6,32
56375,3195,"OK",6,33
53333,2796,"OK",6,34
31956,2112,"OK",6,35
42327,2715,"OK",6,36
48799,2576,"OK",6,37
24411,1864,"OK",6,38
31774,2344,"OK",6,39
35930,2304,"OK",6,40
34944,2260,"OK",6,41
58060,2992,"OK",6,42
39610,2612,"OK",6,43
23914,1751,"OK",6,44
24338,2163,"OK",6,45
37412,2603,"OK",6,46
26055,2199,"OK",6,47
40292,2702,"OK",6,48
43572,2901,"OK",6,49
46639,3096,"OK",6,50
16268,1650,"OK",6,51
16834,1808,"OK",6,52
42749,2688,"OK",6,53
18324,2118,"OK",6,54
10157,1433,"OK",6,55
10709,1574,"OK",6,56
39599,2363,"OK",6,57
23899,2183,"OK",6,58
48749,3071,"OK",6,59
17085,2100,"OK",6,60
49292,2666,"OK",6,61
23474,1829,"OK",6,62
27710,2031,"OK",6,63
32767,2316,"OK",6,64
3412,644,"OK",6,65
43741,2857,"OK",6,66
30774,2651,"OK",6,67
15193,1506,"OK",6,68
44723,2474,"OK",6,69
5622,928,"OK",6,70
25286,2039,"OK",6,71
10631,1537,"OK",6,72
32832,2333,"OK",6,73
21455,1830,"OK",6,74
20299,1741,"OK",6,75
29774,2144,"OK",6,76
19297,2213,"OK",6,77
11520,1427,"OK",6,78
24276,1861,"OK",6,79
48188,2583,"OK",6,80
46656,3102,"OK",6,81
59689,3497,"OK",6,82
7499,1050,"OK",6,83
98979,4550,"OK",6,84
38564,2691,"OK",6,85
46331,2652,"OK",6,86
63479,3691,"OK",6,87
69205,3334,"OK",6,88
47560,2643,"OK",6,89
113220,5478,"OK",6,90
9893,1458,"OK",6,91
25353,1869,"OK",6,92
19484,2015,"OK",6,93
28293,2030,"OK",6,94
28720,2011,"OK",6,95
8640,1197,"OK",6,96
38577,2685,"OK",6,97
30294,2071,"OK",6,98
35176,2754,"OK",6,99
46556,3176,"OK",6,100
54414,2937,"OK",6,101
38518,2669,"OK",6,102
98938,4523,"OK",6,103
42868,3004,"OK",6,104
11315,1710,"OK",6,105
11310,1708,"OK",6,106
31118,2663,"OK",6,107
35861,2158,"OK",6,108
40700,2775,"OK",6,109
45605,3099,"OK",6,110
47416,2517,"OK",6,111
3077,595,"OK",6,112
48893,3007,"OK",6,113
10597,1645,"OK",6,114
54837,3465,"OK",6,115
6963,1107,"OK",6,116
7528,1107,"OK",6,117
28954,2147,"OK",6,0
40156,1985,"OK",7,1
38736,2033,"OK",7,2
7148,718,"OK",7,3
65047,3338,"OK",7,4
43893,2130,"OK",7,5
55678,3092,"OK",7,6
0,0,"OK",7,7
18867,1246,"OK",7,8
41051,2119,"OK",7,9
43134,2428,"OK",7,10
58762,2688,"OK",7,11
42207,2237,"OK",7,12
27603,1751,"OK",7,13
66894,3165,"OK",7,14
65559,2990,"OK",7,15
58091,2575,"OK",7,16
45205,2174,"OK",7,17
27603,1751,"OK",7,18
61163,2889,"OK",7,19
64703,3004,"OK",7,20
65463,2966,"OK",7,21
16740,1071,"OK",7,22
43572,2172,"OK",7,23
66124,3029,"OK",7,24
72295,3059,"OK",7,25
57470,2787,"OK",7,26
51750,2439,"OK",7,27
59915,2861,"OK",7,28
35505,1716,"OK",7,29
22092,1932,"OK",7,30
116174,6227,"OK",7,31
47393,2075,"OK",7,32
88272,3856,"OK",7,33
55642,2588,"OK",7,34
54376,2585,"OK",7,35
7058,787,"OK",7,36
33767,1840,"OK",7,37
34458,1716,"OK",7,38
32714,1635,"OK",7,39
25307,1527,"OK",7,40
65661,2850,"OK",7,41
43148,2113,"OK",7,42
79711,3590,"OK",7,43
34599,1736,"OK",7,44
41864,2213,"OK",7,45
34806,1964,"OK",7,46
24806,1277,"OK",7,47
67883,3420,"OK",7,48
20973,1255,"OK",7,49
2497,324,"OK",7,50
42047,2275,"OK",7,51
62770,2792,"OK",7,52
36286,1826,"OK",7,53
32729,1618,"OK",7,54
43272,2437,"OK",7,55
42885,2414,"OK",7,56
46500,2260,"OK",7,57
37927,1763,"OK",7,58
14984,1001,"OK",7,59
34020,1817,"OK",7,60
43220,2107,"OK",7,61
58609,2873,"OK",7,62
67811,3009,"OK",7,63
28171,1611,"OK",7,64
52167,2733,"OK",7,65
6913,732,"OK",7,66
25691,1571,"OK",7,67
62228,3030,"OK",7,68
64455,2921,"OK",7,69
51298,2476,"OK",7,70
62663,2750,"OK",7,71
43687,2477,"OK",7,72
72954,3340,"OK",7,73
64276,2807,"OK",7,74
36587,1992,"OK",7,75
28127,1568,"OK",7,76
32874,1700,"OK",7,77
56579,2881,"OK",7,78
35345,1696,"OK",7,79
58762,2688,"OK",7,80
2451,324,"OK",7,81
6916,801,"OK",7,82
61254,3056,"OK",7,83
102841,5194,"OK",7,84
11891,878,"OK",7,85
35086,1921,"OK",7,86
18697,1216,"OK",7,87
20131,1107,"OK",7,88
53904,2562,"OK",7,89
115635,6145,"OK",7,90
40258,2392,"OK",7,91
32603,1602,"OK",7,92
34938,1640,"OK",7,93
36889,1836,"OK",7,94
65964,3025,"OK",7,95
44547,2628,"OK",7,96
24367,1332,"OK",7,97
64703,2686,"OK",7,98
30279,1689,"OK",7,99
16064,1080,"OK",7,100
13020,1253,"OK",7,101
24308,1315,"OK",7,102
102800,5168,"OK",7,103
6769,705,"OK",7,104
38472,2239,"OK",7,105
38466,2237,"OK",7,106
25516,1528,"OK",7,107
47209,2452,"OK",7,108
10160,809,"OK",7,109
35794,2228,"OK",7,110
54155,2556,"OK",7,111
52987,2680,"OK",7,112
27603,1751,"OK",7,113
39480,2314,"OK",7,114
6419,623,"OK",7,115
55135,2723,"OK",7,116
46376,2534,"OK",7,117
65285,3043,"OK",7,0
39552,1843,"OK",8,1
25739,1437,"OK",8,2
25522,1433,"OK",8,3
50846,2580,"OK",8,4
30953,1622,"OK",8,5
39534,2435,"OK",8,6
18236,1217,"OK",8,7
0,0,"OK",8,8
24907,1462,"OK",8,9
30289,1851,"OK",8,10
43035,2047,"OK",8,11
29209,1641,"OK",8,12
11876,1110,"OK",8,13
54095,2430,"OK",8,14
55834,2694,"OK",8,15
48353,2271,"OK",8,16
29061,1517,"OK",8,17
11876,1110,"OK",8,18
45018,2232,"OK",8,19
54418,2740,"OK",8,20
55738,2669,"OK",8,21
30756,1532,"OK",8,22
27845,1531,"OK",8,23
49980,2372,"OK",8,24
62570,2762,"OK",8,25
44672,2052,"OK",8,26
36023,1798,"OK",8,27
43770,2204,"OK",8,28
22660,1140,"OK",8,29
19121,1201,"OK",8,30
135836,5931,"OK",8,31
37669,1778,"OK",8,32
78453,3566,"OK",8,33
39915,1947,"OK",8,34
42673,1896,"OK",8,35
11561,701,"OK",8,36
18041,1199,"OK",8,37
15340,858,"OK",8,38
32584,1614,"OK",8,39
8845,719,"OK",8,40
55923,2546,"OK",8,41
27422,1472,"OK",8,42
69986,3293,"OK",8,43
15480,878,"OK",8,44
22745,1356,"OK",8,45
19079,1324,"OK",8,46
10935,815,"OK",8,47
53683,2662,"OK",8,48
11896,1341,"OK",8,49
15873,1082,"OK",8,50
25902,1617,"OK",8,51
53045,2495,"OK",8,52
20560,1185,"OK",8,53
19884,1042,"OK",8,54
30427,1860,"OK",8,55
30040,1838,"OK",8,56
27381,1402,"OK",8,57
33446,1665,"OK",8,58
18688,1263,"OK",8,59
19993,1143,"OK",8,60
27493,1466,"OK",8,61
42882,2233,"OK",8,62
58086,2712,"OK",8,63
14300,1149,"OK",8,64
36023,2076,"OK",8,65
12975,843,"OK",8,66
11820,1109,"OK",8,67
46084,2373,"OK",8,68
50254,2163,"OK",8,69
35154,1819,"OK",8,70
52938,2454,"OK",8,71
30842,1900,"OK",8,72
63230,3043,"OK",8,73
54551,2510,"OK",8,74
24367,1373,"OK",8,75
16700,1011,"OK",8,76
20028,1124,"OK",8,77
40435,2223,"OK",8,78
18020,921,"OK",8,79
43035,2047,"OK",8,80
15890,1088,"OK",8,81
25662,1478,"OK",8,82
45110,2399,"OK",8,83
121056,4920,"OK",8,84
7798,678,"OK",8,85
19360,1280,"OK",8,86
32713,1677,"OK",8,87
34661,1450,"OK",8,88
41106,1827,"OK",8,89
135297,5849,"OK",8,90
27413,1816,"OK",8,91
14440,771,"OK",8,92
21940,1043,"OK",8,93
17770,979,"OK",8,94
56226,2721,"OK",8,95
31071,1980,"OK",8,96
13947,1476,"OK",8,97
54965,2382,"OK",8,98
21366,1905,"OK",8,99
20187,1289,"OK",8,100
19870,1053,"OK",8,101
13888,1460,"OK",8,102
121015,4894,"OK",8,103
12102,990,"OK",8,104
25626,1662,"OK",8,105
25621,1661,"OK",8,106
11645,1066,"OK",8,107
31483,1811,"OK",8,108
9933,761,"OK",8,109
20067,1587,"OK",8,110
41357,1821,"OK",8,111
36842,2022,"OK",8,112
11876,1110,"OK",8,113
29584,1728,"OK",8,114
24071,1451,"OK",8,115
38991,2066,"OK",8,116
33531,1958,"OK",8,117
55000,2779,"OK",8,0
23946,1300,"OK",9,1
7724,653,"OK",9,2
49068,2318,"OK",9,3
31243,1866,"OK",9,4
15347,1079,"OK",9,5
15303,1324,"OK",9,6
40398,2031,"OK",9,7
23127,1222,"OK",9,8
0,0,"OK",9,9
11162,1067,"OK",9,10
34132,1576,"OK",9,11
3481,662,"OK",9,12
34188,1898,"OK",9,13
36888,1734,"OK",9,14
37333,1852,"OK",9,15
32747,1728,"OK",9,16
4830,406,"OK",9,17
34188,1898,"OK",9,18
20788,1120,"OK",9,19
40620,1877,"OK",9,20
37237,1828,"OK",9,21
52919,2346,"OK",9,22
33453,1595,"OK",9,23
25749,1261,"OK",9,24
44091,1950,"OK",9,25
38194,1829,"OK",9,26
41887,1953,"OK",9,27
19540,1093,"OK",9,28
6032,616,"OK",9,29
38960,1976,"OK",9,30
117813,5364,"OK",9,31
22062,1235,"OK",9,32
60430,2999,"OK",9,33
39278,1789,"OK",9,34
18652,984,"OK",9,35
33724,1515,"OK",9,36
31165,1433,"OK",9,37
9707,755,"OK",9,38
17660,1148,"OK",9,39
21226,1196,"OK",9,40
37900,1979,"OK",9,41
40426,1849,"OK",9,42
51506,2480,"OK",9,43
9210,643,"OK",9,44
9634,1055,"OK",9,45
22707,1495,"OK",9,46
17451,999,"OK",9,47
34079,1945,"OK",9,48
36447,1811,"OK",9,49
38036,1896,"OK",9,50
1730,442,"OK",9,51
32033,1827,"OK",9,52
28045,1580,"OK",9,53
9720,918,"OK",9,54
4795,834,"OK",9,55
10914,1053,"OK",9,56
21965,1220,"OK",9,57
17839,1122,"OK",9,58
41624,1981,"OK",9,59
8482,900,"OK",9,60
